experience_idx,distillation,epoch,ce,distill
0,False,0,1.7763,0.0000
0,False,2,1.3139,0.0000
0,False,4,0.9897,0.0000
0,False,6,1.0286,0.0000
0,False,8,0.7471,0.0000
0,False,10,0.6641,0.0000
0,False,12,0.6708,0.0000
0,False,14,0.6287,0.0000
0,False,16,0.4442,0.0000
0,False,18,0.4712,0.0000
0,False,20,0.4199,0.0000
0,False,22,0.5458,0.0000
0,False,24,0.4840,0.0000
0,False,26,0.4031,0.0000
0,False,28,0.3374,0.0000
0,False,30,0.3762,0.0000
0,False,32,0.2880,0.0000
0,False,34,0.3849,0.0000
0,False,36,0.2820,0.0000
0,False,38,0.1800,0.0000
0,False,40,0.1625,0.0000
0,False,42,0.1474,0.0000
0,False,44,0.1408,0.0000
0,False,46,0.1892,0.0000
0,False,48,0.0642,0.0000
0,False,49,0.0544,0.0000
0,True,0,2.2549,22.2822
0,True,2,1.8021,17.6207
0,True,4,1.5823,13.7125
0,True,6,1.0693,9.3458
0,True,8,1.1225,8.7811
0,True,10,0.9472,7.6135
0,True,12,0.9084,6.0894
0,True,14,0.9718,6.5845
0,True,16,0.9076,6.2159
0,True,18,0.7470,4.3588
0,True,20,0.4363,2.8315
0,True,22,0.4651,3.5245
0,True,24,0.6031,3.5338
0,True,26,0.5187,3.2844
0,True,28,0.4344,2.8595
0,True,30,0.7165,4.2739
0,True,32,0.6509,3.1149
0,True,34,0.3860,2.0436
0,True,36,0.5857,2.7356
0,True,38,0.4944,2.5456
0,True,40,0.4647,0.0000
0,True,42,0.7484,0.0000
0,True,44,0.6361,0.0000
0,True,46,0.4917,0.0000
0,True,48,0.5303,0.0000
0,True,50,0.3856,0.0000
0,True,52,0.4497,0.0000
0,True,54,0.5148,0.0000
0,True,56,0.4302,0.0000
0,True,58,0.5033,0.0000
0,True,59,0.5608,0.0000
1,False,0,2.0020,0.0000
1,False,2,1.5058,0.0000
1,False,4,1.3879,0.0000
1,False,6,1.0696,0.0000
1,False,8,1.1878,0.0000
1,False,10,0.8991,0.0000
1,False,12,0.8896,0.0000
1,False,14,0.8121,0.0000
1,False,16,0.7937,0.0000
1,False,18,0.8061,0.0000
1,False,20,0.6149,0.0000
1,False,22,0.4354,0.0000
1,False,24,0.5189,0.0000
1,False,26,0.4307,0.0000
1,False,28,0.4054,0.0000
1,False,30,0.3269,0.0000
1,False,32,0.3672,0.0000
1,False,34,0.2890,0.0000
1,False,36,0.2834,0.0000
1,False,38,0.1882,0.0000
1,False,40,0.1716,0.0000
1,False,42,0.1344,0.0000
1,False,44,0.1428,0.0000
1,False,46,0.0618,0.0000
1,False,48,0.1553,0.0000
1,False,49,0.0954,0.0000
1,True,0,1.7790,13.5082
1,True,2,0.9984,8.2231
1,True,4,0.6508,5.9241
1,True,6,0.8464,5.5431
1,True,8,0.4866,3.9417
1,True,10,0.5898,4.2247
1,True,12,0.7051,4.5300
1,True,14,0.6367,3.0333
1,True,16,0.8423,3.8914
1,True,18,0.5146,3.3728
1,True,20,0.5619,3.4914
1,True,22,0.4971,3.1867
1,True,24,0.3623,2.3175
1,True,26,0.5853,2.9234
1,True,28,0.3260,2.2093
1,True,30,0.4560,2.4630
1,True,32,0.4691,3.1284
1,True,34,0.3921,3.0041
1,True,36,0.3109,2.6995
1,True,38,0.4342,2.4533
1,True,40,0.3860,0.0000
1,True,42,0.4534,0.0000
1,True,44,0.3757,0.0000
1,True,46,0.3419,0.0000
1,True,48,0.3110,0.0000
1,True,50,0.3468,0.0000
1,True,52,0.2940,0.0000
1,True,54,0.4027,0.0000
1,True,56,0.2924,0.0000
1,True,58,0.3845,0.0000
1,True,59,0.3671,0.0000
2,False,0,1.9893,0.0000
2,False,2,1.4186,0.0000
2,False,4,1.1671,0.0000
2,False,6,1.0561,0.0000
2,False,8,0.9649,0.0000
2,False,10,1.0863,0.0000
2,False,12,1.0305,0.0000
2,False,14,0.5641,0.0000
2,False,16,0.6770,0.0000
2,False,18,0.7129,0.0000
2,False,20,0.4479,0.0000
2,False,22,0.6094,0.0000
2,False,24,0.4641,0.0000
2,False,26,0.4997,0.0000
2,False,28,0.4234,0.0000
2,False,30,0.5389,0.0000
2,False,32,0.3821,0.0000
2,False,34,0.3934,0.0000
2,False,36,0.2402,0.0000
2,False,38,0.2688,0.0000
2,False,40,0.2030,0.0000
2,False,42,0.1692,0.0000
2,False,44,0.1438,0.0000
2,False,46,0.1786,0.0000
2,False,48,0.1636,0.0000
2,False,49,0.3862,0.0000
2,True,0,1.4139,9.2842
2,True,2,1.0261,6.2760
2,True,4,0.8329,5.5287
2,True,6,0.6414,4.0853
2,True,8,0.7013,3.9906
2,True,10,0.6857,3.9619
2,True,12,0.4695,3.4002
2,True,14,0.6279,3.5504
2,True,16,0.4896,2.9677
2,True,18,0.5448,3.0915
2,True,20,0.4188,2.7119
2,True,22,0.5904,3.8063
2,True,24,0.5083,2.3728
2,True,26,0.6273,2.9107
2,True,28,0.3663,2.3577
2,True,30,0.3715,2.0452
2,True,32,0.4798,2.2008
2,True,34,0.2849,2.0521
2,True,36,0.3951,2.8174
2,True,38,0.1653,1.5891
2,True,40,0.4007,0.0000
2,True,42,0.5776,0.0000
2,True,44,0.3776,0.0000
2,True,46,0.3517,0.0000
2,True,48,0.2938,0.0000
2,True,50,0.1977,0.0000
2,True,52,0.4736,0.0000
2,True,54,0.2813,0.0000
2,True,56,0.3005,0.0000
2,True,58,0.2982,0.0000
2,True,59,0.2759,0.0000
3,False,0,1.7439,0.0000
3,False,2,1.3790,0.0000
3,False,4,1.3182,0.0000
3,False,6,1.1678,0.0000
3,False,8,0.9584,0.0000
3,False,10,0.9904,0.0000
3,False,12,0.9127,0.0000
3,False,14,0.8484,0.0000
3,False,16,0.6607,0.0000
3,False,18,0.6065,0.0000
3,False,20,0.6205,0.0000
3,False,22,0.5590,0.0000
3,False,24,0.6007,0.0000
3,False,26,0.5426,0.0000
3,False,28,0.4709,0.0000
3,False,30,0.4144,0.0000
3,False,32,0.4114,0.0000
3,False,34,0.3641,0.0000
3,False,36,0.1685,0.0000
3,False,38,0.3030,0.0000
3,False,40,0.2578,0.0000
3,False,42,0.2601,0.0000
3,False,44,0.2458,0.0000
3,False,46,0.2639,0.0000
3,False,48,0.1522,0.0000
3,False,49,0.2687,0.0000
3,True,0,1.0963,7.8744
3,True,2,0.9176,4.7758
3,True,4,0.4515,2.8010
3,True,6,0.3422,2.4158
3,True,8,0.4043,2.0485
3,True,10,0.4509,2.3032
3,True,12,0.4060,2.3155
3,True,14,0.3736,1.7619
3,True,16,0.2303,1.7680
3,True,18,0.2842,1.7559
3,True,20,0.3456,1.9045
3,True,22,0.3248,2.1147
3,True,24,0.3432,1.9507
3,True,26,0.2607,1.4550
3,True,28,0.1991,1.3982
3,True,30,0.2226,1.8433
3,True,32,0.2580,1.9259
3,True,34,0.2404,1.6199
3,True,36,0.2529,1.8781
3,True,38,0.2329,1.3682
3,True,40,0.4617,0.0000
3,True,42,0.2842,0.0000
3,True,44,0.2836,0.0000
3,True,46,0.3315,0.0000
3,True,48,0.2978,0.0000
3,True,50,0.1841,0.0000
3,True,52,0.2489,0.0000
3,True,54,0.1471,0.0000
3,True,56,0.1666,0.0000
3,True,58,0.2892,0.0000
3,True,59,0.2818,0.0000
4,False,0,2.1267,0.0000
4,False,2,1.7612,0.0000
4,False,4,1.4608,0.0000
4,False,6,1.3392,0.0000
4,False,8,1.1996,0.0000
4,False,10,1.1205,0.0000
4,False,12,1.0045,0.0000
4,False,14,0.8596,0.0000
4,False,16,0.9603,0.0000
4,False,18,0.9338,0.0000
4,False,20,0.7980,0.0000
4,False,22,0.8227,0.0000
4,False,24,0.7080,0.0000
4,False,26,0.5901,0.0000
4,False,28,0.6855,0.0000
4,False,30,0.4526,0.0000
4,False,32,0.7259,0.0000
4,False,34,0.5041,0.0000
4,False,36,0.4046,0.0000
4,False,38,0.2912,0.0000
4,False,40,0.3036,0.0000
4,False,42,0.2110,0.0000
4,False,44,0.3093,0.0000
4,False,46,0.3806,0.0000
4,False,48,0.2307,0.0000
4,False,49,0.2236,0.0000
4,True,0,1.3467,10.3835
4,True,2,1.0297,6.9433
4,True,4,0.9038,5.8154
4,True,6,0.8512,4.5518
4,True,8,0.6696,4.5296
4,True,10,0.8069,4.5205
4,True,12,0.6428,3.7324
4,True,14,0.6077,3.9640
4,True,16,0.6081,3.5093
4,True,18,0.3526,2.7475
4,True,20,0.4624,2.4631
4,True,22,0.5637,2.6703
4,True,24,0.4628,2.2190
4,True,26,0.5141,3.3096
4,True,28,0.4233,2.4372
4,True,30,0.4506,2.3100
4,True,32,0.3910,2.5452
4,True,34,0.3460,3.0349
4,True,36,0.3889,2.4477
4,True,38,0.3561,2.4385
4,True,40,0.5618,0.0000
4,True,42,0.4185,0.0000
4,True,44,0.4446,0.0000
4,True,46,0.4150,0.0000
4,True,48,0.5466,0.0000
4,True,50,0.3734,0.0000
4,True,52,0.5414,0.0000
4,True,54,0.4800,0.0000
4,True,56,0.3074,0.0000
4,True,58,0.4482,0.0000
4,True,59,0.5056,0.0000
5,False,0,2.2208,0.0000
5,False,2,1.4581,0.0000
5,False,4,1.1732,0.0000
5,False,6,1.2202,0.0000
5,False,8,0.9184,0.0000
5,False,10,0.8073,0.0000
5,False,12,1.0090,0.0000
5,False,14,0.9722,0.0000
5,False,16,0.6160,0.0000
5,False,18,0.5706,0.0000
5,False,20,0.5532,0.0000
5,False,22,0.6459,0.0000
5,False,24,0.5906,0.0000
5,False,26,0.5122,0.0000
5,False,28,0.4173,0.0000
5,False,30,0.4164,0.0000
5,False,32,0.2845,0.0000
5,False,34,0.2578,0.0000
5,False,36,0.2052,0.0000
5,False,38,0.2113,0.0000
5,False,40,0.2517,0.0000
5,False,42,0.1570,0.0000
5,False,44,0.2364,0.0000
5,False,46,0.2144,0.0000
5,False,48,0.1276,0.0000
5,False,49,0.1227,0.0000
5,True,0,0.9668,8.0806
5,True,2,0.6704,4.9745
5,True,4,0.6190,3.7163
5,True,6,0.3845,2.6934
5,True,8,0.2045,1.8199
5,True,10,0.5928,3.1233
5,True,12,0.3839,2.1359
5,True,14,0.4505,2.5807
5,True,16,0.3361,2.1872
5,True,18,0.4411,1.8944
5,True,20,0.2963,1.7225
5,True,22,0.3635,1.7593
5,True,24,0.2263,1.5850
5,True,26,0.3569,1.7323
5,True,28,0.2382,1.1222
5,True,30,0.2345,1.5066
5,True,32,0.2599,1.5639
5,True,34,0.2578,1.4274
5,True,36,0.1969,1.4418
5,True,38,0.2216,1.6161
5,True,40,0.2839,0.0000
5,True,42,0.4215,0.0000
5,True,44,0.2476,0.0000
5,True,46,0.2555,0.0000
5,True,48,0.4075,0.0000
5,True,50,0.2447,0.0000
5,True,52,0.2149,0.0000
5,True,54,0.2737,0.0000
5,True,56,0.2115,0.0000
5,True,58,0.2229,0.0000
5,True,59,0.0875,0.0000
6,False,0,1.7842,0.0000
6,False,2,1.3247,0.0000
6,False,4,1.3115,0.0000
6,False,6,1.1579,0.0000
6,False,8,1.2094,0.0000
6,False,10,1.0065,0.0000
6,False,12,0.8128,0.0000
6,False,14,1.2630,0.0000
6,False,16,0.8917,0.0000
6,False,18,0.9369,0.0000
6,False,20,0.8354,0.0000
6,False,22,0.7601,0.0000
6,False,24,0.7323,0.0000
6,False,26,0.6129,0.0000
6,False,28,0.7672,0.0000
6,False,30,0.5440,0.0000
6,False,32,0.6310,0.0000
6,False,34,0.6804,0.0000
6,False,36,0.4213,0.0000
6,False,38,0.3769,0.0000
6,False,40,0.3007,0.0000
6,False,42,0.3245,0.0000
6,False,44,0.3740,0.0000
6,False,46,0.2336,0.0000
6,False,48,0.2958,0.0000
6,False,49,0.2948,0.0000
6,True,0,1.1832,8.0427
6,True,2,0.7280,4.5699
6,True,4,0.8809,4.7560
6,True,6,0.8643,4.2351
6,True,8,0.5603,3.0499
6,True,10,0.5084,2.3246
6,True,12,0.8298,4.2549
6,True,14,0.6011,2.5601
6,True,16,0.4127,2.4184
6,True,18,0.5869,2.7671
6,True,20,0.3961,2.3704
6,True,22,0.3765,2.0029
6,True,24,0.5455,2.3085
6,True,26,0.4432,2.4888
6,True,28,0.4596,2.3091
6,True,30,0.3912,1.7633
6,True,32,0.2985,1.8620
6,True,34,0.3335,1.8639
6,True,36,0.4373,2.4694
6,True,38,0.3525,1.9592
6,True,40,0.4697,0.0000
6,True,42,0.6109,0.0000
6,True,44,0.5679,0.0000
6,True,46,0.5409,0.0000
6,True,48,0.4591,0.0000
6,True,50,0.5225,0.0000
6,True,52,0.3024,0.0000
6,True,54,0.4175,0.0000
6,True,56,0.4880,0.0000
6,True,58,0.4037,0.0000
6,True,59,0.4686,0.0000
7,False,0,1.9020,0.0000
7,False,2,1.4007,0.0000
7,False,4,1.2100,0.0000
7,False,6,1.0248,0.0000
7,False,8,0.8957,0.0000
7,False,10,0.8690,0.0000
7,False,12,0.7684,0.0000
7,False,14,0.6956,0.0000
7,False,16,0.5980,0.0000
7,False,18,0.7553,0.0000
7,False,20,0.6141,0.0000
7,False,22,0.5644,0.0000
7,False,24,0.4743,0.0000
7,False,26,0.5840,0.0000
7,False,28,0.5403,0.0000
7,False,30,0.4175,0.0000
7,False,32,0.3417,0.0000
7,False,34,0.3154,0.0000
7,False,36,0.2941,0.0000
7,False,38,0.2557,0.0000
7,False,40,0.2454,0.0000
7,False,42,0.1910,0.0000
7,False,44,0.3300,0.0000
7,False,46,0.3546,0.0000
7,False,48,0.2139,0.0000
7,False,49,0.1197,0.0000
7,True,0,1.5397,9.9725
7,True,2,0.7033,4.3565
7,True,4,0.8341,4.0478
7,True,6,0.5837,3.2118
7,True,8,0.4764,3.0147
7,True,10,0.4542,2.8528
7,True,12,0.3440,2.5093
7,True,14,0.4934,2.4129
7,True,16,0.3563,2.0969
7,True,18,0.3320,1.4580
7,True,20,0.3648,2.0064
7,True,22,0.3609,1.9786
7,True,24,0.3334,1.9289
7,True,26,0.5265,2.2290
7,True,28,0.2562,1.7049
7,True,30,0.2472,1.5239
7,True,32,0.3973,1.7502
7,True,34,0.2657,1.5967
7,True,36,0.2465,1.3317
7,True,38,0.1804,1.0777
7,True,40,0.3878,0.0000
7,True,42,0.4560,0.0000
7,True,44,0.4152,0.0000
7,True,46,0.4768,0.0000
7,True,48,0.3327,0.0000
7,True,50,0.3632,0.0000
7,True,52,0.3177,0.0000
7,True,54,0.3029,0.0000
7,True,56,0.2563,0.0000
7,True,58,0.2272,0.0000
7,True,59,0.2816,0.0000
8,False,0,1.7445,0.0000
8,False,2,1.3224,0.0000
8,False,4,1.0932,0.0000
8,False,6,1.0570,0.0000
8,False,8,0.9755,0.0000
8,False,10,0.6702,0.0000
8,False,12,0.7943,0.0000
8,False,14,0.7685,0.0000
8,False,16,0.6168,0.0000
8,False,18,0.6146,0.0000
8,False,20,0.5590,0.0000
8,False,22,0.3679,0.0000
8,False,24,0.5064,0.0000
8,False,26,0.4735,0.0000
8,False,28,0.4001,0.0000
8,False,30,0.4142,0.0000
8,False,32,0.2256,0.0000
8,False,34,0.3935,0.0000
8,False,36,0.1916,0.0000
8,False,38,0.1540,0.0000
8,False,40,0.1968,0.0000
8,False,42,0.2771,0.0000
8,False,44,0.2258,0.0000
8,False,46,0.2581,0.0000
8,False,48,0.1571,0.0000
8,False,49,0.1510,0.0000
8,True,0,0.9715,7.7632
8,True,2,0.6120,4.3938
8,True,4,0.7498,4.7025
8,True,6,0.6424,3.2825
8,True,8,0.4877,2.9294
8,True,10,0.4725,2.9722
8,True,12,0.5658,2.6433
8,True,14,0.2874,2.0530
8,True,16,0.4271,2.4126
8,True,18,0.3449,1.7409
8,True,20,0.2295,1.7742
8,True,22,0.3066,2.0656
8,True,24,0.2986,2.4082
8,True,26,0.2749,1.6300
8,True,28,0.2707,1.6217
8,True,30,0.2995,1.5713
8,True,32,0.3189,1.6583
8,True,34,0.4207,2.2386
8,True,36,0.3624,1.8056
8,True,38,0.4310,1.7074
8,True,40,0.4904,0.0000
8,True,42,0.4671,0.0000
8,True,44,0.4446,0.0000
8,True,46,0.3116,0.0000
8,True,48,0.2530,0.0000
8,True,50,0.4122,0.0000
8,True,52,0.3584,0.0000
8,True,54,0.3915,0.0000
8,True,56,0.2594,0.0000
8,True,58,0.1592,0.0000
8,True,59,0.2158,0.0000
9,False,0,1.7079,0.0000
9,False,2,1.4763,0.0000
9,False,4,0.8525,0.0000
9,False,6,0.9801,0.0000
9,False,8,0.8404,0.0000
9,False,10,0.6955,0.0000
9,False,12,0.5511,0.0000
9,False,14,0.6655,0.0000
9,False,16,0.3794,0.0000
9,False,18,0.3142,0.0000
9,False,20,0.5716,0.0000
9,False,22,0.4465,0.0000
9,False,24,0.5310,0.0000
9,False,26,0.3535,0.0000
9,False,28,0.2955,0.0000
9,False,30,0.3888,0.0000
9,False,32,0.2260,0.0000
9,False,34,0.3381,0.0000
9,False,36,0.2506,0.0000
9,False,38,0.0957,0.0000
9,False,40,0.1253,0.0000
9,False,42,0.1136,0.0000
9,False,44,0.1641,0.0000
9,False,46,0.1138,0.0000
9,False,48,0.1602,0.0000
9,False,49,0.1105,0.0000
9,True,0,1.4947,8.2996
9,True,2,0.6408,4.1996
9,True,4,0.4384,2.8590
9,True,6,0.6861,2.9534
9,True,8,0.2301,1.8279
9,True,10,0.2947,1.6779
9,True,12,0.3895,3.1128
9,True,14,0.2407,1.9765
9,True,16,0.2501,1.9498
9,True,18,0.3108,1.5808
9,True,20,0.1677,1.5756
9,True,22,0.3280,1.9087
9,True,24,0.2595,2.4806
9,True,26,0.2629,1.4350
9,True,28,0.2173,1.5670
9,True,30,0.1513,1.2914
9,True,32,0.2213,1.3548
9,True,34,0.1683,1.3782
9,True,36,0.1474,1.0596
9,True,38,0.1091,1.3301
9,True,40,0.2391,0.0000
9,True,42,0.2676,0.0000
9,True,44,0.2027,0.0000
9,True,46,0.4380,0.0000
9,True,48,0.2474,0.0000
9,True,50,0.3414,0.0000
9,True,52,0.2898,0.0000
9,True,54,0.2748,0.0000
9,True,56,0.2684,0.0000
9,True,58,0.1857,0.0000
9,True,59,0.1764,0.0000
